index,id,stock
397,396,REG
398,397,REGN
399,398,RF
400,399,RSG
401,400,RMD
402,401,RHI
403,402,ROK
404,403,ROL
405,404,ROP
406,405,ROST
407,406,RCL
408,407,SPGI
409,408,CRM
410,409,SBAC
411,410,SLB
412,411,STX
413,412,SEE
414,413,SRE
415,414,NOW
416,415,SHW
417,416,SBNY
418,417,SPG
419,418,SWKS
420,419,SJM
421,420,SNA
422,421,SEDG
423,422,SO
424,423,LUV
425,424,SWK
426,425,SBUX
427,426,STT
428,427,STE
429,428,SYK
430,429,SIVB
431,430,SYF
432,431,SNPS
433,432,SYY
434,433,TMUS
435,434,TROW
436,435,TTWO
437,436,TPR
438,437,TRGP
439,438,TGT
440,439,TEL
441,440,TDY
442,441,TFX
443,442,TER
444,443,TSLA
445,444,TXN
446,445,TXT
447,446,TMO
448,447,TJX
449,448,TSCO
450,449,TT
451,450,TDG
452,451,TRV
453,452,TRMB
454,453,TFC
455,454,TYL
456,455,TSN
457,456,USB
458,457,UDR
459,458,ULTA
460,459,UNP
461,460,UAL
462,461,UPS
463,462,URI
464,463,UNH
465,464,UHS
466,465,VLO
467,466,VTR
468,467,VRSN
469,468,VRSK
470,469,VZ
471,470,VRTX
472,471,VFC
473,472,VTRS
474,473,VICI
475,474,V
476,475,VNO
477,476,VMC
478,477,WAB
479,478,WBA
480,479,WMT
481,480,WBD
482,481,WM
483,482,WAT
484,483,WEC
485,484,WFC
486,485,WELL
487,486,WST
488,487,WDC
489,488,WRK
490,489,WY
491,490,WHR
492,491,WMB
493,492,WTW
494,493,GWW
495,494,WYNN
496,495,XEL
497,496,XYL
498,497,YUM
499,498,ZBRA
500,499,ZBH
501,500,ZION
502,501,ZTS
