461,UNP
462,UAL
463,UPS
464,URI
465,UNH
466,UHS
467,VLO
468,VTR
469,VRSN
470,VRSK
471,VZ
472,VRTX
473,VFC
474,VTRS
475,VICI
476,V
477,VNO
478,VMC
479,WAB
480,WBA
481,WMT
482,WBD
483,WM
484,WAT
485,WEC
486,WFC
487,WELL
488,WST
489,WDC
490,WRK
491,WY
492,WHR
493,WMB
494,WTW
495,GWW
496,WYNN
497,XEL
498,XYL
499,YUM
500,ZBRA
501,ZBH
502,ZION
503,ZTS
